ACTECON;GRUANALI;antiguedad;TAMAEMP;nrotrab;riesgo;categoria;lineanegocio;modular;producto;fechainicio
96;9;43;2;74;1;6;2;2;1;2021-08-01T00:00:00.0000000
96;9;43;2;74;1;6;2;1;1;2021-08-29T00:00:00.0000000
20;4;13;2;83;2;4;4;1;6;2021-12-31T00:00:00.0000000
20;4;13;2;83;2;4;4;1;6;2021-12-31T00:00:00.0000000
20;4;13;2;83;2;4;4;1;6;2021-11-18T00:00:00.0000000
20;4;13;2;83;2;4;4;1;6;2021-10-29T00:00:00.0000000
20;4;13;2;83;2;4;4;1;6;2021-10-29T00:00:00.0000000
20;4;13;2;83;2;4;4;1;6;2021-11-05T00:00:00.0000000
20;4;13;2;83;2;4;4;1;6;2021-11-05T00:00:00.0000000
20;4;13;2;83;2;4;4;1;6;2021-11-18T00:00:00.0000000
20;4;13;2;83;2;4;4;2;6;2022-01-19T00:00:00.0000000
20;4;13;2;83;2;4;4;2;6;2022-01-19T00:00:00.0000000
20;4;13;2;83;2;4;4;1;5;2021-05-31T00:00:00.0000000
20;4;13;2;83;2;4;1;1;7;2021-05-31T00:00:00.0000000
11;2;44;1;4076;1;6;3;1;4;2021-07-06T00:00:00.0000000
17;4;35;2;36;3;2;4;1;6;2021-06-24T00:00:00.0000000
17;4;35;2;36;3;2;4;1;6;2021-08-25T00:00:00.0000000
17;4;35;2;36;3;2;3;1;4;2021-05-15T00:00:00.0000000
17;4;35;2;36;3;2;3;1;4;2021-07-20T00:00:00.0000000
44;6;16;2;0;3;1;1;2;3;2021-06-28T00:00:00.0000000
44;6;16;2;0;3;1;1;1;9;2021-06-28T00:00:00.0000000
44;6;16;2;0;3;1;1;1;9;2021-08-31T00:00:00.0000000
8;4;41;2;210;0;0;1;1;7;2021-07-05T00:00:00.0000000
102;4;2;2;21;2;3;1;1;0;2021-05-25T00:00:00.0000000
23;2;27;2;1408;1;6;4;2;6;2021-09-30T00:00:00.0000000
23;2;27;2;1408;1;6;4;2;6;2021-11-09T00:00:00.0000000
23;2;27;2;1408;1;6;4;1;6;2022-02-19T00:00:00.0000000
23;2;27;2;1408;1;6;4;1;6;2021-06-16T00:00:00.0000000
23;2;27;2;1408;1;6;4;2;6;2021-05-19T00:00:00.0000000
8;4;18;2;35;0;0;1;2;7;2021-12-31T00:00:00.0000000
130;10;14;2;88;2;4;2;1;8;2021-04-25T00:00:00.0000000
130;10;14;2;88;2;4;4;1;6;2021-06-12T00:00:00.0000000
27;4;8;1;242;1;7;2;2;8;2021-07-10T00:00:00.0000000
8;4;14;2;48;0;0;4;1;6;2021-08-27T00:00:00.0000000
8;4;14;2;48;0;0;4;1;6;2021-08-14T00:00:00.0000000
8;4;14;2;48;0;0;1;1;7;2022-01-08T00:00:00.0000000
8;4;21;2;20;0;0;1;1;7;2021-08-25T00:00:00.0000000
50;2;27;2;142;2;6;4;1;6;2021-09-16T00:00:00.0000000
50;2;27;2;142;2;6;4;1;6;2021-09-19T00:00:00.0000000
50;2;27;2;142;2;6;4;1;6;2022-01-29T00:00:00.0000000
50;2;27;2;142;2;6;4;1;6;2021-05-28T00:00:00.0000000
50;2;27;2;142;2;6;4;2;6;2021-05-28T00:00:00.0000000
50;2;27;2;142;2;6;4;2;6;2021-05-28T00:00:00.0000000
50;2;27;2;142;2;6;4;2;6;2021-12-03T00:00:00.0000000
50;2;27;2;142;2;6;4;2;6;2021-12-03T00:00:00.0000000
50;2;27;2;142;2;6;4;1;6;2021-12-06T00:00:00.0000000
50;2;27;2;142;2;6;1;2;10;2021-06-12T00:00:00.0000000
8;4;61;2;101;0;0;1;2;3;2021-03-20T00:00:00.0000000
8;4;61;2;101;0;0;4;2;6;2021-10-01T00:00:00.0000000
8;4;61;2;101;0;0;4;1;6;2021-10-01T00:00:00.0000000
8;4;61;2;101;0;0;4;1;6;2022-02-01T00:00:00.0000000
